index,case name,i_h2i_rate,i_pci_rate,i_wpi_rate,i_ngi_rate,i_o2_volfract,i_ng_temp,i_h2_temp,i_hbtemp,i_wind_rt,i_blastH2O,i_BdnH2O,i_sgi_rate,i_sgtemp,i_sgi_H2COratio,i_sgi_ReProRatio,o_tuy_velo,o_tuy_temp,o_burn,o_delp,o_co_vf,o_co2_vf,o_h2_vf,o_n2_vf,o_co_util,o_h2_util,o_tgt,o_coke_rt,o_hmt,o_co2_sollos,o_h2o_sollos,o_feo_sollos,o_hm_rt,o_mw_rt,o_wf_rt,o_hm_h2share,o_mw_h2share,o_wf_h2share,o_prod_rt,o_fta
32,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1480_WR-160_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1480,160,5.7,7,0,0,0,0,0,0,0,6.04E+04,1.97E-01,2.16E-01,4.83E-02,5.38E-01,5.22E+01,4.46E+01,1.03E+02,4.49E+02,1.59E+03,2.38E+01,1.23E+01,4.71E+01,1.47E+02,3.17E+02,8.32E+02,2.13E+01,1.13E+01,3.91E+01,4.86E+03,2.19E+03
33,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1480_WR-160_MHB-5.7_BM-3_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1480,160,5.7,3,0,0,0,0,0,0,0,6.40E+04,1.97E-01,2.17E-01,4.84E-02,5.38E-01,5.23E+01,4.45E+01,1.84E+02,4.48E+02,1.58E+03,2.29E+01,1.18E+01,4.90E+01,1.48E+02,3.19E+02,8.30E+02,2.18E+01,1.08E+01,3.87E+01,4.88E+03,2.19E+03
34,H2-0_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-0_HBT-1480_WR-160_MHB-5.7_BM-3_SGI-0_SGT-0_SGC_0 ,0,0,0,60,21,300,0,1480,160,5.7,3,0,0,0,0,0,0,0,6.86E+04,1.98E-01,2.04E-01,6.70E-02,5.31E-01,5.08E+01,4.24E+01,2.01E+02,4.24E+02,1.44E+03,1.87E+01,1.37E+01,4.53E+01,1.47E+02,3.18E+02,8.36E+02,2.79E+01,1.35E+01,4.49E+01,4.88E+03,2.08E+03
35,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1480_WR-160_MHB-5.7_BM-1_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1480,160,5.7,1,0,0,0,0,0,0,0,6.44E+04,1.97E-01,2.17E-01,4.84E-02,5.38E-01,5.24E+01,4.47E+01,2.26E+02,4.48E+02,1.58E+03,2.30E+01,1.19E+01,4.89E+01,1.47E+02,3.18E+02,8.32E+02,2.19E+01,1.07E+01,3.87E+01,4.88E+03,2.19E+03
36,H2-0_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-0_HBT-1480_WR-160_MHB-5.7_BM-1_SGI-0_SGT-0_SGC_0 ,0,0,0,60,21,300,0,1480,160,5.7,1,0,0,0,0,0,0,0,6.96E+04,1.97E-01,2.05E-01,6.69E-02,5.31E-01,5.09E+01,4.26E+01,2.42E+02,4.23E+02,1.44E+03,1.90E+01,1.38E+01,4.47E+01,1.48E+02,3.19E+02,8.36E+02,2.80E+01,1.34E+01,4.48E+01,4.89E+03,2.08E+03
37,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1480_WR-160_MHB-5.7_BM-5_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1480,160,5.7,5,0,0,0,0,0,0,0,6.53E+04,1.97E-01,2.17E-01,4.84E-02,5.38E-01,5.24E+01,4.47E+01,1.40E+02,4.48E+02,1.57E+03,2.35E+01,1.20E+01,4.82E+01,1.48E+02,3.19E+02,8.31E+02,2.17E+01,1.09E+01,3.87E+01,4.89E+03,2.19E+03
38,H2-0_PCI-0_WPI-0_NG-41_O2-24_NGT-300_H2T-0_HBT-1200_WR-160_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,41,24,300,0,1200,160,5.7,7,0,0,0,0,0,0,0,6.38E+04,2.17E-01,2.22E-01,4.91E-02,5.11E-01,5.06E+01,4.27E+01,9.94E+01,4.79E+02,1.54E+03,2.10E+01,1.05E+01,4.22E+01,1.49E+02,3.22E+02,8.43E+02,2.00E+01,1.08E+01,3.51E+01,4.93E+03,2.13E+03
39,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1200_WR-230_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1200,230,5.7,7,0,0,0,0,0,0,0,1.41E+05,2.58E-01,1.45E-01,4.33E-02,5.54E-01,3.59E+01,3.70E+01,2.57E+02,6.02E+02,1.83E+03,3.53E+01,1.25E+01,5.20E+01,1.50E+02,3.24E+02,8.58E+02,1.36E+01,1.28E+01,4.15E+01,4.97E+03,2.07E+03
40,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1200_WR-230_MHB-5.7_BM-5_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1200,230,5.7,5,0,0,0,0,0,0,0,1.40E+05,2.58E-01,1.45E-01,4.32E-02,5.54E-01,3.59E+01,3.73E+01,2.90E+02,6.00E+02,1.83E+03,3.48E+01,1.23E+01,5.22E+01,1.50E+02,3.25E+02,8.61E+02,1.35E+01,1.28E+01,4.16E+01,4.98E+03,2.07E+03
41,H2-0_PCI-0_WPI-0_NG-41_O2-24_NGT-300_H2T-0_HBT-1200_WR-160_MHB-5.7_BM-1_SGI-0_SGT-0_SGC_0 ,0,0,0,41,24,300,0,1200,160,5.7,1,0,0,0,0,0,0,0,6.51E+04,2.13E-01,2.27E-01,4.86E-02,5.11E-01,5.16E+01,4.37E+01,2.17E+02,4.76E+02,1.53E+03,2.10E+01,1.06E+01,4.23E+01,1.50E+02,3.24E+02,8.50E+02,2.09E+01,9.89E+00,3.56E+01,4.98E+03,2.13E+03
